tick,q1,q2,q3,q4,yaw,pitch,roll,axR,ayR,azR,axW,ayW,azW,temp,Head1,Head2
59960,0.99,-0.12,-0.09,-0.05,6.93,10.61,-13.43,-4328,2386,-314,-3906,2556,-1650,35,2,144
59970,0.99,-0.12,-0.09,-0.06,7.57,10.54,-13.34,-4102,2511,-550,-3604,2646,-1855,35,2,144
59980,0.99,-0.12,-0.08,-0.06,8.18,10.47,-13.19,-3875,2610,-756,-3308,2712,-2022,35,2,144
59990,0.99,-0.12,-0.08,-0.07,8.76,10.38,-12.93,-3649,2665,-930,-3026,2742,-2145,35,2,143
60000,0.99,-0.12,-0.08,-0.07,9.31,10.27,-12.55,-3425,2731,-1045,-2754,2796,-2206,35,2,143
60010,0.99,-0.11,-0.08,-0.08,9.86,10.14,-12.04,-3175,2782,-1129,-2464,2840,-2225,35,2,143
60020,0.99,-0.11,-0.08,-0.08,10.37,9.96,-11.45,-2939,2843,-1185,-2192,2899,-2215,35,2,143
60030,0.99,-0.10,-0.08,-0.09,10.85,9.78,-10.84,-2674,3029,-1179,-1878,3082,-2164,35,2,143
60040,0.99,-0.10,-0.08,-0.09,11.31,9.59,-10.33,-2378,3376,-1141,-1505,3412,-2107,35,2,142
60050,0.99,-0.10,-0.07,-0.09,11.68,9.41,-10.02,-2049,3790,-1130,-1084,3779,-2091,35,2,142
60061,0.99,-0.09,-0.07,-0.10,11.96,9.22,-9.91,-1754,4216,-1123,-697,4149,-2097,35,2,142
60071,0.99,-0.09,-0.07,-0.10,12.13,9.01,-9.91,-1492,4523,-1067,-377,4413,-2049,35,2,141
60081,0.99,-0.09,-0.07,-0.10,12.23,8.77,-9.94,-1241,4601,-954,-127,4465,-1911,35,2,141
60091,0.99,-0.09,-0.07,-0.10,12.31,8.48,-9.91,-998,4478,-850,72,4325,-1745,35,2,141
60101,0.99,-0.09,-0.06,-0.10,12.37,8.17,-9.80,-764,4247,-752,241,4083,-1564,35,2,140
60111,0.99,-0.09,-0.06,-0.10,12.44,7.83,-9.60,-522,3979,-653,410,3805,-1372,35,2,140
60121,0.99,-0.09,-0.06,-0.10,12.47,7.51,-9.35,-276,3664,-522,568,3485,-1141,35,2,140
60131,0.99,-0.09,-0.05,-0.10,12.48,7.23,-9.09,-60,3357,-392,699,3176,-921,35,2,139
60141,0.99,-0.08,-0.05,-0.10,12.48,6.95,-8.85,121,3149,-263,818,2966,-727,35,2,139
60151,0.99,-0.08,-0.05,-0.10,12.50,6.70,-8.70,317,3050,-76,972,2865,-498,35,2,138
60162,0.99,-0.08,-0.05,-0.11,12.51,6.49,-8.63,579,3056,182,1208,2863,-214,35,2,137
60172,0.99,-0.08,-0.05,-0.10,12.47,6.33,-8.58,814,3048,381,1419,2843,9,35,2,137
60182,0.99,-0.08,-0.05,-0.10,12.37,6.25,-8.45,959,3103,445,1563,2880,85,35,2,136
60192,0.99,-0.08,-0.05,-0.10,12.25,6.21,-8.21,1090,3229,438,1711,2977,87,35,2,136
60202,0.99,-0.07,-0.05,-0.10,12.09,6.19,-7.86,1239,3297,369,1867,3008,45,35,2,135
60212,0.99,-0.07,-0.05,-0.10,11.89,6.16,-7.43,1392,3321,244,2020,2990,-39,35,2,135
60222,0.99,-0.07,-0.05,-0.10,11.66,6.13,-6.93,1536,3227,108,2140,2861,-118,35,2,134
60232,0.99,-0.06,-0.05,-0.10,11.42,6.07,-6.45,1669,3136,29,2246,2747,-147,35,2,134
60242,0.99,-0.06,-0.05,-0.09,11.17,5.98,-6.06,1810,3068,65,2356,2671,-70,35,2,133
60252,0.99,-0.06,-0.05,-0.09,10.87,5.90,-5.78,1945,2914,168,2437,2520,72,35,2,133
60263,0.99,-0.05,-0.05,-0.09,10.55,5.83,-5.57,2079,2705,248,2509,2315,194,35,2,132
